Video No.,Video Title,Status,Publish Date,Format,Tags,URL
1,Wywiad z abp Grzegorzem Rysiem,Idea,"September 26, 2021","Interview - Special guest, Vlog",,
3,,,,,,
2,Wyjazd do Puebla,Idea,"September 30, 2021",Vlog,,
