Video Title,Format,Publish Date,Status,Tags,URL,Video No.
Wywiad z abp Grzegorzem Rysiem,"Interview - Special guest, Vlog","September 26, 2021",Idea,,,1
,,,,,,3
Wyjazd do Puebla,Vlog,"September 30, 2021",Idea,,,2
